Year,V1,V2,V3,V4
2063,73.37335205,83.1605835,,79.94615173
2064,75.31645203,83.6745224,,80.97090149
2065,75.62319183,81.23440552,,79.3240509
2066,76.80059814,83.78317261,,78.83911133
2067,73.58699036,81.47148895,,78.82801819
2068,75.50662231,81.54449463,,80.15406799
2069,75.69377899,82.55056763,,79.5289917
2070,75.34429932,81.15090942,,79.86006927
2071,76.64338684,81.32493591,,80.68502808
2072,74.06736755,82.67251587,,80.21102905
2073,75.92597961,81.85447693,,79.36639404
2074,75.72701263,82.16505432,,81.75015259
2075,75.46372986,82.8911438,,80.26338196
2076,76.02803802,82.04025269,,80.32247925
2077,76.58092499,81.9653244,,79.65242767
2078,76.51275635,81.35020447,,80.11753845
2079,75.45631409,81.77965546,,80.40823364
2080,75.72640991,82.33226776,,80.49590302
2081,76.21025085,83.65486145,,78.92463684
2082,75.93772888,82.22499084,,82.0267334
2083,75.65285492,82.01707459,,78.57725525
2084,76.73001099,82.54116821,,79.72911072
2085,75.66619873,83.00842285,,81.00747681
2086,75.7726593,82.21202087,,79.85501099
2087,75.90641785,82.25569153,,80.19476318
2088,76.25430298,81.52526855,,80.45140839
2089,76.30006409,83.31323242,,79.69483948
2090,76.40635681,81.08718872,,80.65536499
2091,75.81413269,82.59489441,,78.3586731
2092,76.14828491,82.32452393,,81.4631958
2093,75.91273499,81.76367188,,78.50627899
2094,75.295578,83.33575439,,78.48622894
2095,74.8184967,82.7137146,,80.29826355
2096,76.24298096,82.37104797,,79.75080872
2097,77.17720795,83.36608124,,80.06639099
2098,75.02668762,81.83305359,,79.42835999
2099,76.16003418,82.13847351,,80.58972168
2100,75.51722717,82.66531372,,80.79495239
